ID,TeamSide,GroupIdx,PositionIdx,RowIdx,ColIdx,X,Y,Z,Theta_rad,Theta1_rad,Theta2_rad,Theta3_rad,Theta2Prime_rad,Theta4_rad
1,blue,1,1,1,1,1256.2,-71.65,294.35,-1.5707963267949,1.36991238594055,-0.526827454566956,1.19041395187378,-2.76121020317078,-2.94070863723755
2,blue,1,2,1,2,1182.72,-71.65,294.35,-1.5707963267949,1.34178483486176,-0.574461281299591,1.32160377502441,-2.89240002632141,-2.91258120536804
3,blue,1,3,1,3,1109.24,-71.65,294.35,-1.5707963267949,1.30471384525299,-0.603711843490601,1.45611464977264,-3.02691102027893,-2.87551021575928
4,blue,1,4,2,1,1219.46,-185.65,294.35,1.5707963267949,1.56280696392059,-0.560987114906311,1.2790789604187,-2.8498752117157,0.00798940658569336
5,blue,1,5,2,2,1145.98,-185.65,294.35,1.5707963267949,1.56156051158905,-0.597156167030334,1.41586518287659,-2.98666143417358,0.00923585891723633
6,blue,1,6,2,3,1072.5,-185.65,294.35,1.5707963267949,1.55985331535339,-0.611658334732056,1.56131851673126,-3.13211488723755,0.0109430551528931
7,blue,2,1,1,1,1256.2,-221.65,294.35,-1.5707963267949,1.62519884109497,-0.535280168056488,1.21055352687836,-2.78134989738464,-3.19599533081055
8,blue,2,2,1,2,1182.72,-221.65,294.35,-1.5707963267949,1.6330531835556,-0.581026434898376,1.34497857093811,-2.91577482223511,-3.20384955406189
9,blue,2,3,1,3,1109.24,-221.65,294.35,-1.5707963267949,1.64355361461639,-0.607213199138641,1.4848655462265,-3.05566191673279,-3.21434998512268
10,blue,2,4,2,1,1219.46,-335.65,294.35,1.5707963267949,1.83218848705292,-0.548486888408661,1.24415624141693,-2.81495261192322,-0.261392116546631
11,blue,2,5,2,2,1145.98,-335.65,294.35,1.5707963267949,1.87071645259857,-0.588398098945618,1.37430930137634,-2.94510555267334,-0.299920082092285
12,blue,2,6,2,3,1072.5,-335.65,294.35,1.5707963267949,1.92201936244965,-0.609368443489075,1.50879955291748,-3.07959580421448,-0.351222991943359
13,blue,3,1,1,1,1256.2,-371.65,294.35,-1.5707963267949,1.87372040748596,-0.514068603515625,1.16163122653961,-2.7324275970459,-3.44451665878296
14,blue,3,2,1,2,1182.72,-371.65,294.35,-1.5707963267949,1.91438162326813,-0.564198017120361,1.28867661952972,-2.85947299003601,-3.48517799377441
15,blue,3,3,1,3,1109.24,-371.65,294.35,-1.5707963267949,1.96699285507202,-0.597261667251587,1.4164320230484,-2.98722839355469,-3.5377893447876
16,blue,3,4,2,1,1219.46,-485.65,294.35,1.5707963267949,2.06826114654541,-0.505026340484619,1.14222347736359,-2.71301984786987,-0.497464776039124
17,blue,3,5,2,2,1145.98,-485.65,294.35,1.5707963267949,2.1313591003418,-0.553546071052551,1.25786828994751,-2.82866454124451,-0.56056272983551
18,blue,3,6,2,3,1072.5,-485.65,294.35,1.5707963267949,2.21030068397522,-0.58732807636261,1.36979913711548,-2.94059538841248,-0.639504313468933
19,blue,4,1,1,1,1256.2,-521.65,294.35,-1.5707963267949,2.08934020996094,-0.457803845405579,1.05057334899902,-2.62136960029602,-3.66013669967651
20,blue,4,2,1,2,1182.72,-521.65,294.35,-1.5707963267949,2.14942789077759,-0.516128718852997,1.16616094112396,-2.73695731163025,-3.72022438049316
21,blue,4,3,1,3,1109.24,-521.65,294.35,-1.5707963267949,2.2230384349823,-0.559783935546875,1.27555620670319,-2.84635257720947,-3.7938346862793
22,blue,4,4,2,1,1219.46,-635.65,294.35,1.5707963267949,2.25672698020935,-0.419893026351929,0.985216736793518,-2.5560131072998,-0.685930609703064
23,blue,4,5,2,2,1145.98,-635.65,294.35,1.5707963267949,2.32856774330139,-0.478589773178101,1.08920085430145,-2.65999722480774,-0.757771372795105
24,blue,4,6,2,3,1072.5,-635.65,294.35,1.5707963267949,2.4132399559021,-0.523641347885132,1.18305671215057,-2.75385308265686,-0.842443585395813
